objectid,filename,title,creator,date,description,subject,location,latitude,longitude,identifier,type,format,culture,materials,measurements,credit,published,web_page,altnum
IHL.0023,ihl-0023.jpg,Fire at Ryogoku from the series Famous Views of Tokyo (modern reprint from recarved blocks),KOBAYASHI Kiyochika ????,c. 1950s,Kobayashi Kiyochika hitsu / no seal; First edition date: c. 1881; Genre:ukiyo-e; meisho-e; fukusei-ga,,Japan,,,IHL.0023,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",,http://www.myjapanesehanga.com/home/artists/kiyochika-kobayashi-1847-1915-/fire-at-ryogoku-from-hama-cho,
IHL.0024,ihl-0024.jpg,"Snow at Toshogu Shrine, Ueno from the series Famous Views of Tokyo (modern reprint from recarved blocks)",Kobayashi Kiyochika,c. 1950s,Kobayashi Kiyochika hitsu / no seal; First edition date: 1879; Genre:ukiyo-e; meisho-e; fukusei-ga,,Japan,,,IHL.0024,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0027,ihl-0027.jpg,Ship at Shinagawa Bay from the series Famous Views of Tokyo (modern reprint from recarved blocks),Kobayashi Kiyochika,c. 1950s,Kobayashi Kiyochika / no seal; First edition date: c. 1879; Genre:ukiyo-e; meisho-e; fukusei-ga,,Japan,,,IHL.0027,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0039,ihl-0039.jpg,J?ganden Moon – Minamoto no Tsunemoto from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,Dec. 1888,Yoshitoshi ?? / Taiso ??; First edition date: Dec. 1888; Genre:ukiyo-e,,Japan,,,IHL.0039,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0040,ihl-0040.jpg,Ono-no Tofu from the series Instructive Models of Lofty Ambition,Kobayashi Kiyochika,"May 21, 1886","Kiyochika ?? / Shin ga ??; First edition date: May 21, 1886; Genre:ukiyo-e; rekishi-e; ky?iku nishiki-e",,Japan,,,IHL.0040,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0041,ihl-0041.jpg,"Pinecone Fish from Bairei Ekagami, volume 6",Ko?no Bairei,likley 1982,not signed / ?? Bairei ; First edition date: 1903; Genre:  kach?-ga,,Japan,,,IHL.0041,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0042,ihl-0042.jpg,"Damselfly from Bairei Ekagami, volume 6",Ko?no Bairei,likley 1982,not signed / ?? Bairei ; First edition date: 1903; Genre:  kach?-ga,,Japan,,,IHL.0042,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0043,ihl-0043.jpg,The full moon coming with a challenge to flaunt its beautiful brow - Fukami Jiky? from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,June 1887,Yoshitoshi ?? / Yoshitoshi ??; First edition date: June 1887; Genre:ukiyo-e,,Japan,,,IHL.0043,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0044,ihl-0044.jpg,"Tearing Weeds Out In Peking from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",Kobayashi Kiyochika,1895,Kiyochika / Kiyochika; First edition date: 1895; Genre:senso-e; f?shiga; giga,,Japan,,,IHL.0044,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0045,ihl-0045.jpg,"Mice in a Trap from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",Kobayashi Kiyochika,April 1895,Kiyochika / Kiyochika; First edition date: April 1895; Genre:senso-e; f?shiga; giga,,Japan,,,IHL.0045,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
