objectid,creator,culture,date,title,materials,measurements,credit,web_address,location,description,alternate_number,type,filename,format
JSMAIHL.0023,KOBAYASHI Kiyochika 小林清親,Japanese,c. 1950s,Fire at Ryogoku from the series Famous Views of Tokyo (modern reprint from recarved blocks),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214485;type=101,Japan,Kobayashi Kiyochika hitsu / no seal; First edition date: c. 1881; Genre:ukiyo-e; meisho-e; fukusei-ga,,Image;StillImage,ihl-0023.jpg,image/jpeg
JSMAIHL.0024,Kobayashi Kiyochika,Japanese,c. 1950s,"Snow at Toshogu Shrine, Ueno from the series Famous Views of Tokyo (modern reprint from recarved blocks)",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214486;type=101,Japan,Kobayashi Kiyochika hitsu / no seal; First edition date: 1879; Genre:ukiyo-e; meisho-e; fukusei-ga,,Image;StillImage,ihl-0024.jpg,image/jpeg
JSMAIHL.0027,Kobayashi Kiyochika,Japanese,c. 1950s,Ship at Shinagawa Bay from the series Famous Views of Tokyo (modern reprint from recarved blocks),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214487;type=101,Japan,Kobayashi Kiyochika / no seal; First edition date: c. 1879; Genre:ukiyo-e; meisho-e; fukusei-ga,,Image;StillImage,ihl-0027.jpg,image/jpeg
JSMAIHL.0039,Tsukioka Yoshitoshi,Japanese,Dec. 1888,Jōganden Moon – Minamoto no Tsunemoto from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214488;type=101,Japan,Yoshitoshi 芳年 / Taiso 大蘇; First edition date: Dec. 1888; Genre:ukiyo-e,,Image;StillImage,ihl-0039.jpg,image/jpeg
JSMAIHL.0040,Kobayashi Kiyochika,Japanese,"May 21, 1886",Ono-no Tofu from the series Instructive Models of Lofty Ambition,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214489;type=101,Japan,"Kiyochika 清親 / Shin ga 真画; First edition date: May 21, 1886; Genre:ukiyo-e; rekishi-e; kyōiku nishiki-e",,Image;StillImage,ihl-0040.jpg,image/jpeg
JSMAIHL.0041,Kōno Bairei,Japanese,likley 1982,"Pinecone Fish from Bairei Ekagami, volume 6",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214490;type=101,Japan,not signed / 楳嶺 Bairei ; First edition date: 1903; Genre:  kachō-ga,,Image;StillImage,ihl-0041.jpg,image/jpeg
JSMAIHL.0042,Kōno Bairei,Japanese,likley 1982,"Damselfly from Bairei Ekagami, volume 6",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214491;type=101,Japan,not signed / 楳嶺 Bairei ; First edition date: 1903; Genre:  kachō-ga,,Image;StillImage,ihl-0042.jpg,image/jpeg
JSMAIHL.0043,Tsukioka Yoshitoshi,Japanese,June 1887,The full moon coming with a challenge to flaunt its beautiful brow - Fukami Jikyū from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214492;type=101,Japan,Yoshitoshi 芳年 / Yoshitoshi 芳年; First edition date: June 1887; Genre:ukiyo-e,,Image;StillImage,ihl-0043.jpg,image/jpeg
JSMAIHL.0044,Kobayashi Kiyochika,Japanese,1895,"Tearing Weeds Out In Peking from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214493;type=101,Japan,Kiyochika / Kiyochika; First edition date: 1895; Genre:senso-e; fūshiga; giga,,Image;StillImage,ihl-0044.jpg,image/jpeg
JSMAIHL.0045,Kobayashi Kiyochika,Japanese,April 1895,"Mice in a Trap from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214494;type=101,Japan,Kiyochika / Kiyochika; First edition date: April 1895; Genre:senso-e; fūshiga; giga,,Image;StillImage,ihl-0045.jpg,image/jpeg
